stage,round,attempt,order,completed,rps,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,error_rate,mysql_statements,user_session_selects,mysql_connections,max_used_connections,redis_evalsha,redis_get,redis_set
A,1,1,A1-B1,50176,278.7556,178.9988,170.3784,260.8268,308.4589,424.254,1021.5422,0,298946,50051,439,11,0,0,0
A,2,1,B2-A2,46299,257.2167,193.9866,181.4803,285.4322,336.6196,475.871,1373.2661,0,276037,46198,826,11,0,0,0
A,3,1,A3-B3,49405,274.4722,181.81,163.9206,277.6198,334.9307,584.4227,1430.6237,0,294954,49324,957,11,0,0,0
A,4,1,B4-A4,41379,229.8833,217.1136,197.7987,335.8545,406.0049,609.576,1875.9118,0,246785,41300,1496,11,0,0,0
A,5,1,A5-B5,38073,211.5167,235.9626,213.9449,375.2127,455.4058,670.0196,1241.6695,0,227221,38004,1611,11,0,0,0
B,1,1,A1-B1,55514,308.4111,161.7165,154.2999,240.1514,279.6464,371.9854,951.3962,0,274600,0,568,11,55514,55514,55514
B,2,1,B2-A2,50959,283.1056,176.0714,162.2517,264.8878,311.2202,498.0681,1760.1627,0,252029,0,683,11,50959,50959,50959
B,3,1,A3-B3,52641,292.45,170.5952,160.2164,261.7644,301.988,431.9691,953.8766,0,260568,0,1071,11,52641,52641,52641
B,4,2,B4-A4,50655,281.4167,176.8547,149.7174,272.1126,356.2898,729.9088,3907.614,0,251086,0,1381,11,50655,50655,50655
B,5,1,A5-B5,55493,308.2944,161.7827,149.9237,250.9498,289.0306,424.8677,1044.111,0,274717,0,1728,11,55493,55493,55493
